scenario,model,horizon,predicted_nrmse,measured_nrmse
nonlinear_ar1_phi085,QRC_K0,1,0.5731108101252432,0.5797134378700787
nonlinear_ar1_phi085,QRC_K0,2,0.7473374114798965,0.7487358072387152
nonlinear_ar1_phi085,QRC_K0,4,0.8993701942801151,0.8971609515891197
nonlinear_ar1_phi085,QRC_K0,8,0.9873797981142428,0.9865831677410632
nonlinear_ar1_phi085,QRC_K0,16,1.0063221478490523,1.011446437660097
nonlinear_ar1_phi085,QRC_K0,32,1.0088413081405119,1.0081994915503711
nonlinear_ar1_phi085,QRC_K0,64,1.012536697894722,1.0127381950514347
nonlinear_ar1_phi085,QRC_K0,128,1.011742782258443,1.0124514993106317
nonlinear_ar1_phi085,single_kernel,1,0.5732906897044269,0.579029086450319
nonlinear_ar1_phi085,single_kernel,2,0.7475817784072016,0.7491509952113807
nonlinear_ar1_phi085,single_kernel,4,0.8988088547976003,0.8975934045465271
nonlinear_ar1_phi085,single_kernel,8,0.98704936268473,0.9860148126005106
nonlinear_ar1_phi085,single_kernel,16,1.0060511695789023,1.0089172888748843
nonlinear_ar1_phi085,single_kernel,32,1.0085149799855493,1.0080380524990484
nonlinear_ar1_phi085,single_kernel,64,1.0123765095509076,1.0156661716827144
nonlinear_ar1_phi085,single_kernel,128,1.0119340418598304,1.0123496373076883
nonlinear_ar1_phi085,triangular,1,0.5732076863713801,0.5784248262830842
nonlinear_ar1_phi085,triangular,2,0.7474706992310449,0.7492298882235874
nonlinear_ar1_phi085,triangular,4,0.8986562561904972,0.8966906699553283
nonlinear_ar1_phi085,triangular,8,0.9869264378291452,0.9857373915740253
nonlinear_ar1_phi085,triangular,16,1.0060218762260655,1.0071256578434744
nonlinear_ar1_phi085,triangular,32,1.0083220954058616,1.0079690287656575
nonlinear_ar1_phi085,triangular,64,1.012134805260867,1.0142528482156674
nonlinear_ar1_phi085,triangular,128,1.0120060988173394,1.0125369096432502
nonlinear_ar1_phi085,uniform,1,0.5731826053871312,0.5795515302801553
nonlinear_ar1_phi085,uniform,2,0.747367295889196,0.7493486691460692
nonlinear_ar1_phi085,uniform,4,0.898513779835826,0.89633741025626
nonlinear_ar1_phi085,uniform,8,0.9868878434950145,0.9856186449509051
nonlinear_ar1_phi085,uniform,16,1.005989870044616,1.006941726921973
nonlinear_ar1_phi085,uniform,32,1.0082101466205369,1.0079448067151022
nonlinear_ar1_phi085,uniform,64,1.0118997915651295,1.016252787141436
nonlinear_ar1_phi085,uniform,128,1.012052700439496,1.0126864268390898
phase_surrogate_nonlinear_ar1_phi085,AB_noaux,1,0.5756206258253473,0.5783428375180883
phase_surrogate_nonlinear_ar1_phi085,AB_noaux,2,0.7503292280474511,0.7530866074585411
phase_surrogate_nonlinear_ar1_phi085,AB_noaux,4,0.901179336454745,0.9028072244148652
phase_surrogate_nonlinear_ar1_phi085,AB_noaux,8,0.9908200119008108,0.991531862660969
phase_surrogate_nonlinear_ar1_phi085,AB_noaux,16,1.0100136658458445,1.010238949709746
phase_surrogate_nonlinear_ar1_phi085,AB_noaux,32,1.0126067500513338,1.0118852043414381
phase_surrogate_nonlinear_ar1_phi085,AB_noaux,64,1.0180804666163288,1.0186173807810794
phase_surrogate_nonlinear_ar1_phi085,AB_noaux,128,1.0159054027114014,1.0133884409579463
phase_surrogate_nonlinear_ar1_phi085,QRC_K0,1,0.5754906901807749,0.578023581219603
phase_surrogate_nonlinear_ar1_phi085,QRC_K0,2,0.7501006990064345,0.7513743275527003
phase_surrogate_nonlinear_ar1_phi085,QRC_K0,4,0.9021251969311991,0.9021947563298165
phase_surrogate_nonlinear_ar1_phi085,QRC_K0,8,0.9915674100641012,0.9925364773724381
phase_surrogate_nonlinear_ar1_phi085,QRC_K0,16,1.0104662103709756,1.0112223639058777
phase_surrogate_nonlinear_ar1_phi085,QRC_K0,32,1.0128221541432565,1.0138138133514518
phase_surrogate_nonlinear_ar1_phi085,QRC_K0,64,1.0183760317929857,1.017224920494728
phase_surrogate_nonlinear_ar1_phi085,QRC_K0,128,1.0130791960345475,1.0125124151447125
phase_surrogate_nonlinear_ar1_phi085,single_kernel,1,0.5757288069835009,0.5771303667920976
phase_surrogate_nonlinear_ar1_phi085,single_kernel,2,0.7503666992564337,0.7522579245538821
phase_surrogate_nonlinear_ar1_phi085,single_kernel,4,0.9015561090022752,0.9023521780955703
phase_surrogate_nonlinear_ar1_phi085,single_kernel,8,0.9910738152718367,0.9918060999825384
phase_surrogate_nonlinear_ar1_phi085,single_kernel,16,1.0100619690636088,1.0104594383506318
phase_surrogate_nonlinear_ar1_phi085,single_kernel,32,1.0125321728312668,1.0125464048536401
