construction,analysis_mode,set,horizon,seed,alpha,selection_scheme
ESN66_K0,retuned_core,Z,4,2,1e-08,blocked_segments_train_val
ESN66_K0,retuned_core,Z,8,2,0.01,blocked_segments_train_val
ESN66_K0,retuned_core,Z,16,2,1e-08,blocked_segments_train_val
ESN66_K0,retuned_core,Z,32,2,1e-08,blocked_segments_train_val
ESN66_K0,retuned_core,Z,64,2,10.0,blocked_segments_train_val
ESN66_K0,retuned_core,Z,128,2,10.0,blocked_segments_train_val
ESN66_K0,retuned_core,Z,1,3,0.0001,blocked_segments_train_val
ESN66_K0,retuned_core,Z,2,3,1e-08,blocked_segments_train_val
ESN66_K0,retuned_core,Z,4,3,1e-08,blocked_segments_train_val
ESN66_K0,retuned_core,Z,8,3,1e-08,blocked_segments_train_val
ESN66_K0,retuned_core,Z,16,3,0.001,blocked_segments_train_val
ESN66_K0,retuned_core,Z,32,3,0.01,blocked_segments_train_val
ESN66_K0,retuned_core,Z,64,3,1.0,blocked_segments_train_val
ESN66_K0,retuned_core,Z,128,3,10.0,blocked_segments_train_val
ESN66_K0,retuned_core,Z,1,4,1e-08,blocked_segments_train_val
ESN66_K0,retuned_core,Z,2,4,1e-08,blocked_segments_train_val
ESN66_K0,retuned_core,Z,4,4,1e-08,blocked_segments_train_val
ESN66_K0,retuned_core,Z,8,4,0.001,blocked_segments_train_val
ESN66_K0,retuned_core,Z,16,4,0.01,blocked_segments_train_val
ESN66_K0,retuned_core,Z,32,4,0.001,blocked_segments_train_val
ESN66_K0,retuned_core,Z,64,4,1.0,blocked_segments_train_val
ESN66_K0,retuned_core,Z,128,4,10.0,blocked_segments_train_val
ESN66_K0,retuned_core,Z,1,5,1e-08,blocked_segments_train_val
ESN66_K0,retuned_core,Z,2,5,1e-08,blocked_segments_train_val
ESN66_K0,retuned_core,Z,4,5,1e-08,blocked_segments_train_val
ESN66_K0,retuned_core,Z,8,5,0.001,blocked_segments_train_val
ESN66_K0,retuned_core,Z,16,5,1e-08,blocked_segments_train_val
ESN66_K0,retuned_core,Z,32,5,0.001,blocked_segments_train_val
ESN66_K0,retuned_core,Z,64,5,1.0,blocked_segments_train_val
ESN66_K0,retuned_core,Z,128,5,10.0,blocked_segments_train_val
ESN66_K0,retuned_core,Z,1,6,1e-08,blocked_segments_train_val
ESN66_K0,retuned_core,Z,2,6,1e-08,blocked_segments_train_val
ESN66_K0,retuned_core,Z,4,6,1e-08,blocked_segments_train_val
ESN66_K0,retuned_core,Z,8,6,0.01,blocked_segments_train_val
