set,model,horizon,shots,mean_nrmse,median_nrmse_inflation,mean_nrmse_inflation,paired_segment_ci95_low,paired_segment_ci95_high,median_relative_nrmse_inflation,mean_relative_nrmse_inflation,p90_relative_nrmse_inflation,useful_horizon,criterion,exact_useful_horizon,useful_horizon_change_from_exact,median,p90,principal_signs_preserved,stratum_pass,stratum_pass_fraction_within_shot,principal_sign_fraction_definition
F,QRC_K0,8,100,1.077009167074455,0.1025615667679866,0.1290469982453303,0.0894088523132489,0.1710027458861844,0.1213281913764462,0.1378786504145201,0.2760259927421302,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,0.1271789551305066,0.2863730535807404,True,False,0.5,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,QRC_K0,8,300,1.045272929851682,0.0794127003340089,0.0973107610225571,0.064384135151912,0.1316288622752928,0.0924423366762268,0.1036471491516819,0.212442694856067,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,0.1027650762859464,0.2342608976666073,True,False,0.5416666666666666,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,QRC_K0,8,1000,1.0164111416819888,0.0589646465234518,0.0684489728528639,0.0445192492473877,0.0935468087712501,0.0643666843224001,0.0729522124130931,0.1593135280078709,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,0.0781244939398997,0.1783165159102718,True,False,0.5416666666666666,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,QRC_K0,8,3000,0.9962271260039852,0.041384865128582,0.0482649571748605,0.0326452402828649,0.0652013236715509,0.0462261172383199,0.051694839555743,0.111347306852434,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0,0.059261759707953,0.1358981590022588,True,False,0.5833333333333334,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,QRC_K0,8,10000,0.9836260258645227,0.0291953922186837,0.035663857035398,0.0231607080539749,0.049234527933121,0.032319052818447,0.0379536239592504,0.0885672089578666,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0,0.0424492283706414,0.1014477317201304,True,False,0.5833333333333334,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,QRC_K0,16,100,1.1128224361748815,0.0315890697071784,0.0352963484762259,0.0162214857115989,0.0553366085235807,0.030775312278939,0.032229975829384,0.0819983894158498,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,0.0429423252336231,0.1019573869815445,True,False,0.5,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,QRC_K0,16,300,1.1084276645731208,0.0285929559743654,0.0309015768744653,0.0154727086203093,0.0468790655350159,0.0277836622600658,0.0282046007387213,0.0710113059558307,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,0.0370957518153967,0.0916217754894227,True,True,0.5416666666666666,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,QRC_K0,16,1000,1.1028279045000136,0.0246008990556863,0.025301816801358,0.0134786163239759,0.037944098690652,0.0239488626543076,0.0232384430881897,0.0608370314037181,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,,0.0306354834209097,0.0808596984636878,True,True,0.5416666666666666,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,QRC_K0,16,3000,1.0967977018524813,0.0198581832952064,0.0192716141538257,0.0091092625490485,0.0290915273118251,0.019403657500359,0.0178029166084486,0.0513701505405024,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0,0.0249202023217549,0.0710466899929148,True,True,0.5833333333333334,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
F,QRC_K0,16,10000,1.0959418864220958,0.0185304401882747,0.0184157987234402,0.0088276349798758,0.0275392832944993,0.0186605472522688,0.0168350155625347,0.0468568195499659,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0,0.0214784521976474,0.059333978566861,True,True,0.5833333333333334,F/Z kernel-vs-K0 and kernel-vs-AB only; S reported as null
