analysis,scope,shots,set,model,horizon,median_absolute_nrmse_inflation,mean_absolute_nrmse_inflation,median_relative_nrmse_inflation,p90_relative_nrmse_inflation,n_rows,passing_strata,total_strata,passing_fraction,notes,comparator,interaction,interaction_change_from_exact,magnitude_ratio_to_exact,sign_preserved
contrast,set_comparator,1000,S,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,QRC_K0,0.0104382135178428,0.0146256627673334,-2.492737916552147,False
contrast,set_comparator,1000,S,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,AB_noaux,-0.0172488838857089,0.0791316842252545,0.1789664060275115,True
contrast,set_comparator,3000,Z,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,QRC_K0,0.0324784113246474,0.0091449949112025,1.3919269578514537,True
contrast,set_comparator,3000,Z,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,AB_noaux,-0.0263422225585816,0.0313837153950431,0.4563325169310217,True
contrast,set_comparator,3000,F,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,QRC_K0,0.0351158896004001,0.0096751547150842,1.380301699565628,True
contrast,set_comparator,3000,F,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,AB_noaux,-0.0124859907215826,0.0166440942075051,0.42862870987082957,True
contrast,set_comparator,3000,S,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,QRC_K0,0.0187974900648251,0.0229849393143156,-4.48900725593564,False
contrast,set_comparator,3000,S,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,AB_noaux,-0.033351199170503,0.0630293689404603,0.34603654890377494,True
contrast,set_comparator,10000,Z,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,QRC_K0,0.0323865896653108,0.009053173251866,1.3879917578914647,True
contrast,set_comparator,10000,Z,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,AB_noaux,-0.036676701632059,0.0210492363215658,0.635359128534627,True
contrast,set_comparator,10000,F,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,QRC_K0,0.0378350370484692,0.0123943021631533,1.4871833388078404,True
contrast,set_comparator,10000,F,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,AB_noaux,-0.0106368122111365,0.0184932727179512,0.36514868518337645,True
contrast,set_comparator,10000,S,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,QRC_K0,0.0230986421978854,0.027286091447376,-5.516160512439855,False
contrast,set_comparator,10000,S,single_kernel,2_to_64,,,,,,,,,sign preservation does not imply magnitude preservation,AB_noaux,-0.0526417851800664,0.0437387829308969,0.5461867076718169,True
