model,set,horizon,channel_seed,segment_id,nrmse_new,nrmse_reference,abs_nrmse_difference
QRC_K0,Z,2,1,Z019,0.43488855876067234,0.4348885587606723,5.551115123125783e-17
QRC_K0,Z,2,1,Z028,0.43848547398129634,0.4384854739812963,5.551115123125783e-17
QRC_K0,Z,2,1,Z030,0.9020480115254343,0.9020480115254343,0.0
QRC_K0,Z,2,1,Z034,0.6597207181135819,0.6597207181135819,0.0
QRC_K0,Z,2,1,Z035,0.3304227996684042,0.3304227996684042,0.0
QRC_K0,Z,2,1,Z037,0.4378320410642834,0.4378320410642834,0.0
QRC_K0,Z,2,1,Z067,0.415885074674141,0.415885074674141,0.0
QRC_K0,Z,2,1,Z068,0.4842446006727739,0.4842446006727739,0.0
QRC_K0,Z,2,1,Z072,0.5213520231268255,0.5213520231268255,0.0
QRC_K0,Z,2,1,Z073,0.527641837023766,0.527641837023766,0.0
QRC_K0,Z,2,1,Z075,0.4284827152987239,0.4284827152987239,0.0
QRC_K0,Z,2,1,Z077,0.4537204224627787,0.4537204224627787,0.0
QRC_K0,Z,2,1,Z080,0.5635618597896216,0.5635618597896216,0.0
QRC_K0,Z,2,1,Z082,0.5682691222177989,0.5682691222177989,0.0
QRC_K0,Z,2,1,Z083,0.4798428459131502,0.4798428459131502,0.0
QRC_K0,Z,4,1,Z005,0.8213446102434104,0.8213446102434104,0.0
QRC_K0,Z,4,1,Z007,0.9177322578725856,0.9177322578725856,0.0
QRC_K0,Z,4,1,Z009,0.7873477461419967,0.7873477461419967,0.0
QRC_K0,Z,4,1,Z011,0.8254815624374888,0.8254815624374888,0.0
QRC_K0,Z,4,1,Z013,0.8190558796228831,0.8190558796228831,0.0
QRC_K0,Z,4,1,Z019,0.8013268490783054,0.8013268490783054,0.0
QRC_K0,Z,4,1,Z028,0.7852080607630383,0.7852080607630383,0.0
QRC_K0,Z,4,1,Z030,1.1511931715973807,1.1511931715973809,2.220446049250313e-16
QRC_K0,Z,4,1,Z034,0.9707642022997953,0.9707642022997952,1.1102230246251565e-16
QRC_K0,Z,4,1,Z035,0.6287773718978348,0.6287773718978348,0.0
QRC_K0,Z,4,1,Z037,0.8024186525998482,0.8024186525998482,0.0
QRC_K0,Z,4,1,Z067,0.7629303918618308,0.7629303918618308,0.0
QRC_K0,Z,4,1,Z068,0.8405704084750164,0.8405704084750164,0.0
QRC_K0,Z,4,1,Z072,0.9267145440235297,0.9267145440235296,1.1102230246251565e-16
QRC_K0,Z,4,1,Z073,0.8998092835422743,0.8998092835422743,0.0
QRC_K0,Z,4,1,Z075,0.7996985492330396,0.7996985492330396,0.0
QRC_K0,Z,4,1,Z077,0.8354841215550182,0.8354841215550182,0.0
QRC_K0,Z,4,1,Z080,0.9438062008278887,0.9438062008278888,1.1102230246251565e-16
QRC_K0,Z,4,1,Z082,0.9391730627034429,0.9391730627034428,1.1102230246251565e-16
QRC_K0,Z,4,1,Z083,0.856041355584292,0.856041355584292,0.0
QRC_K0,Z,8,1,Z005,0.9130338728370407,0.9130338728370408,1.1102230246251565e-16
QRC_K0,Z,8,1,Z007,0.9931172644272467,0.9931172644272468,1.1102230246251565e-16
QRC_K0,Z,8,1,Z009,0.9480594792633333,0.9480594792633332,1.1102230246251565e-16
QRC_K0,Z,8,1,Z011,1.0161215944942337,1.0161215944942337,0.0
QRC_K0,Z,8,1,Z013,1.0338300078212441,1.033830007821244,2.220446049250313e-16
QRC_K0,Z,8,1,Z019,1.0049274427422055,1.0049274427422057,2.220446049250313e-16
QRC_K0,Z,8,1,Z028,0.96432862347404,0.96432862347404,0.0
QRC_K0,Z,8,1,Z030,1.0174520837789514,1.0174520837789514,0.0
QRC_K0,Z,8,1,Z034,0.9820582827788632,0.9820582827788632,0.0
QRC_K0,Z,8,1,Z035,0.7632343427487361,0.7632343427487361,0.0
QRC_K0,Z,8,1,Z037,0.919253946085332,0.919253946085332,0.0
QRC_K0,Z,8,1,Z067,0.9032698662490398,0.9032698662490398,0.0
QRC_K0,Z,8,1,Z068,0.9418451905105784,0.9418451905105784,0.0
QRC_K0,Z,8,1,Z072,0.975051767842872,0.975051767842872,0.0
QRC_K0,Z,8,1,Z073,1.033246351062327,1.033246351062327,0.0
QRC_K0,Z,8,1,Z075,0.943712564421898,0.943712564421898,0.0
QRC_K0,Z,8,1,Z077,0.9565532376081113,0.9565532376081112,1.1102230246251565e-16
QRC_K0,Z,8,1,Z080,1.040252145153951,1.040252145153951,0.0
QRC_K0,Z,8,1,Z082,0.9882666361857224,0.9882666361857224,0.0
QRC_K0,Z,8,1,Z083,1.0042824656061589,1.0042824656061589,0.0
QRC_K0,Z,16,1,Z005,0.9327704963777589,0.9327704963777588,1.1102230246251565e-16
QRC_K0,Z,16,1,Z007,0.9910926447310939,0.991092644731094,1.1102230246251565e-16
QRC_K0,Z,16,1,Z009,0.9967351145596283,0.9967351145596284,1.1102230246251565e-16
QRC_K0,Z,16,1,Z011,1.0567732684541256,1.0567732684541256,0.0
