construction,set,horizon,horizon_ms,n_segments,mean_nrmse,ci95_lo,ci95_hi
triangular,F,1,5.76003686423593,20,0.2307225425136627,0.19262986209839394,0.2787429246223208
triangular,F,2,11.52007372847186,20,0.36016183630360554,0.313959597627238,0.40948531707318175
triangular,F,4,23.04014745694372,20,0.6277396411546555,0.5666690266294754,0.6885909311105238
triangular,F,8,46.08029491388744,20,0.90982796685485,0.8553434174078968,0.9615699449660446
triangular,F,16,92.16058982777488,20,1.0342479675114178,0.9980821158969653,1.0700672503731496
triangular,F,32,184.32117965554977,20,1.0530869784608683,1.0317015588177194,1.073783423401479
triangular,F,64,368.64235931109954,20,1.0367287718216152,1.0225776354193161,1.0504819304455193
triangular,F,128,737.2847186221991,20,1.0374086108684326,1.0248699349143249,1.051133178514136
triangular,S,1,5.76003686423593,20,0.170860532828857,0.14456624029121928,0.19917948261189328
triangular,S,2,11.52007372847186,20,0.35890338991255655,0.31173278168207336,0.41339956220652085
triangular,S,4,23.04014745694372,20,0.7583200949075047,0.6940039644364506,0.8295165627880444
triangular,S,8,46.08029491388744,20,0.9508923174834493,0.9126467551220102,0.9915372479527235
triangular,S,16,92.16058982777488,20,0.9628426375952277,0.9342572835843442,0.9930492932833449
triangular,S,32,184.32117965554977,20,0.9953355678648208,0.9789555075123835,1.0111874246078185
triangular,S,64,368.64235931109954,20,1.0073479745149827,1.0024548494598675,1.0144557445889462
triangular,S,128,737.2847186221991,20,1.0026859199588383,0.9998836179173803,1.0053936893953264
triangular,Z,1,5.76003686423593,20,0.2661779920790894,0.2345844464533834,0.3080071791264505
triangular,Z,2,11.52007372847186,20,0.5009926988139791,0.46085170369178685,0.5513433304050546
triangular,Z,4,23.04014745694372,20,0.8513546324001233,0.8141750638540645,0.8917979916745998
triangular,Z,8,46.08029491388744,20,0.9632754873486347,0.9394552463043316,0.9834446692035613
triangular,Z,16,92.16058982777488,20,0.9869401206698081,0.96342276336133,1.0074335389407705
triangular,Z,32,184.32117965554977,20,1.044367329876088,1.02796154306636,1.0610177660086004
triangular,Z,64,368.64235931109954,20,1.0811428701631203,1.0588701497348907,1.1064098376345446
triangular,Z,128,737.2847186221991,20,1.0769150553051396,1.0525660076262195,1.1042022262877584
uniform,F,1,5.76003686423593,20,0.23490439962746418,0.19735950044569125,0.28249999377582236
uniform,F,2,11.52007372847186,20,0.3660689035418408,0.3212371219656465,0.41435722327296337
uniform,F,4,23.04014745694372,20,0.6338017981834125,0.5742398188417406,0.6940260609403203
uniform,F,8,46.08029491388744,20,0.9150562122007573,0.860035713165001,0.9676803415228576
uniform,F,16,92.16058982777488,20,1.0287369172687035,0.9954519802831047,1.0604814328021708
uniform,F,32,184.32117965554977,20,1.047836760530104,1.0279539363376486,1.0670349478850687
uniform,F,64,368.64235931109954,20,1.0317720725224122,1.018607263578596,1.044332126686163
uniform,F,128,737.2847186221991,20,1.0324370375366756,1.021235284585388,1.0446908494277856
uniform,S,1,5.76003686423593,20,0.17945078153752625,0.15445933117167235,0.20680760677593496
uniform,S,2,11.52007372847186,20,0.36713945740863885,0.32119711906769205,0.42018724620868136
uniform,S,4,23.04014745694372,20,0.7560477002713945,0.6923616828673947,0.8274655043573006
uniform,S,8,46.08029491388744,20,0.9566246761412293,0.9256340401508044,0.9896435885588191
uniform,S,16,92.16058982777488,20,0.9643116815971376,0.9359155728234894,0.9941544013638667
uniform,S,32,184.32117965554977,20,0.9948236120147611,0.9793801161016962,1.0093419637099963
uniform,S,64,368.64235931109954,20,1.0070645032530563,1.002474636024513,1.0136104514102677
uniform,S,128,737.2847186221991,20,1.0024799620713316,1.0001012852192428,1.0047732522197477
uniform,Z,1,5.76003686423593,20,0.2724131943523168,0.2414938685545794,0.3133602990887812
uniform,Z,2,11.52007372847186,20,0.5097032104366762,0.4703499061360448,0.5589019617261427
uniform,Z,4,23.04014745694372,20,0.8579327186891217,0.8215944334087375,0.8969188204013585
uniform,Z,8,46.08029491388744,20,0.9662093602210955,0.9440029542895964,0.9853595389304624
uniform,Z,16,92.16058982777488,20,0.9878151858845203,0.9643289473160751,1.0084303198042157
uniform,Z,32,184.32117965554977,20,1.0429643562221487,1.026657653067841,1.0598222006875253
uniform,Z,64,368.64235931109954,20,1.0784905717182964,1.0554310676005663,1.103923812368405
uniform,Z,128,737.2847186221991,20,1.0734244795242343,1.047993260279792,1.102436851589056
