set,model,horizon,shots,mean_nrmse,median_nrmse_inflation,mean_nrmse_inflation,paired_segment_ci95_low,paired_segment_ci95_high,median_relative_nrmse_inflation,mean_relative_nrmse_inflation,p90_relative_nrmse_inflation,useful_horizon,criterion,exact_useful_horizon,useful_horizon_change_from_exact
F,single_kernel,2,1000,0.5916599301434917,0.18906839171985573,0.22589979809942984,0.17216727423728645,0.2855618451237442,0.7089372879577951,0.6975626522197567,1.263219009955655,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,single_kernel,2,3000,0.5331826233711505,0.1372151372584069,0.1674224913270887,0.12203186258734804,0.21572264835420027,0.5364089893550452,0.5247122160349121,0.9719455615021388,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,single_kernel,2,10000,0.4882815020182274,0.0983807644045169,0.12252136997416554,0.08516995503724817,0.1629692663615119,0.39352408346519174,0.38609791694135887,0.753200786011814,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
F,single_kernel,4,100,0.9248196535129691,0.2290539028888538,0.28725719707242714,0.21937369189459557,0.3618703551210173,0.4853800275828231,0.48336868816281775,0.8860411104724359,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,single_kernel,4,300,0.8476823905876086,0.16499377373903834,0.2101199341470666,0.15459100827266126,0.26560542031696927,0.3396729257122205,0.3549251084462351,0.6804640782290583,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,single_kernel,4,1000,0.7827391745148132,0.11795110458077915,0.1451767180742712,0.10315376222640019,0.18940719398948014,0.2264995616652749,0.24670387449823059,0.49881302383821396,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,single_kernel,4,3000,0.7437308217034063,0.09083128980032845,0.1061683652628643,0.07197129346624516,0.14113746404082225,0.17564075287013087,0.18274938064065327,0.38230131187376465,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,single_kernel,4,10000,0.7129885573907264,0.06342392485362111,0.07542610095018447,0.05054096819765041,0.10089355025375694,0.1208223977984447,0.13053485856216768,0.2794833737095299,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
F,single_kernel,8,100,1.0749519378233345,0.11799200308871505,0.14712795409394447,0.10816933285346474,0.18681838890341815,0.13574626054815386,0.15907858987434517,0.2961849313662665,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,single_kernel,8,300,1.0479118137307957,0.1054871387973568,0.12008783000140558,0.08939806644392997,0.15023588667008544,0.113003583221882,0.12917927440176824,0.23757976658406402,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,single_kernel,8,1000,1.0177675253091885,0.0871787081639523,0.08994354157979852,0.06733698105013061,0.11253057922831604,0.090450628031088,0.09657968603335433,0.18175395544589945,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,single_kernel,8,3000,1.00010688862238,0.0716970757184629,0.07228290489298997,0.05435939931711474,0.08901022824348492,0.0735160754049671,0.07769212456129417,0.14553908585260236,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,single_kernel,8,10000,0.9809947773545711,0.05001538411587285,0.05317079362518116,0.041887255403739276,0.0647314000734224,0.05387649399857685,0.05727314113771879,0.10355896640961387,8.0,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,0.0
F,single_kernel,16,100,1.1071829925954706,0.04807057498310325,0.05253937445978669,0.03651518932209791,0.06877937368027434,0.0456869192191713,0.05017577087020557,0.10583751095385494,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
F,single_kernel,16,300,1.1000402386455896,0.0403415735770921,0.045396620509905714,0.03103884076394843,0.05964841346141926,0.039740172065114,0.04337819888744496,0.09664285150244499,,mean NRMSE < 1 and paired-bootstrap lower CI(persistence-model) > 0,8.0,
