stratum,r,u0,theory,metric,n_total,n_valid,n_pass,pass_fraction,mean,median,std,min,max,q10,q25,q75,q90
u0=0.0,all,0.0,tangent_recurrence,frequency_relative_frobenius,20,20,20,1.0,3.2283440060423474e-05,3.300515674667777e-05,9.27508117635582e-06,1.83963567190196e-05,4.735188516811399e-05,2.130361764185769e-05,2.2190568133306723e-05,4.1223392260092146e-05,4.342145418256812e-05
u0=0.0,all,0.0,tangent_recurrence,memory_function_l1,20,20,20,1.0,1.4956195663543887e-05,1.313947757424867e-05,1.0432076680170048e-05,2.0824207189184e-06,3.658737138044771e-05,2.8179254841023765e-06,4.7546322465121335e-06,2.2805838985818884e-05,2.851411310557638e-05
u0=0.0,all,0.0,tangent_recurrence,impulse_cosine_similarity,20,20,-1,,0.9999999995266796,0.9999999995725629,2.531180685772551e-10,0.9999999989937896,0.9999999998457864,0.9999999991263456,0.9999999993754397,0.999999999756729,0.999999999783633
u0=0.0,all,0.0,tangent_recurrence,step_cosine_similarity,20,20,-1,,0.9999999992356259,0.9999999992517621,1.8754060354121603e-10,0.9999999989251975,0.9999999995043144,0.9999999990222187,0.9999999990577519,0.9999999994319066,0.99999999948062
u0=0.0,all,0.0,separable_W_times_R,impulse_relative_frobenius,20,20,0,0.0,0.42424389279431063,0.41278602058519726,0.06702017279977249,0.34910970895001703,0.5964831371352773,0.35204794959064245,0.36952868302324426,0.4538096678376196,0.5132854339537226
u0=0.0,all,0.0,separable_W_times_R,step_relative_frobenius,20,20,0,0.0,0.16143336793344415,0.14207261931835985,0.07384415108001077,0.06898809018736853,0.37199737785052506,0.08414341602717375,0.11302725695484182,0.20493126966377476,0.25094331402940656
u0=0.0,all,0.0,separable_W_times_R,frequency_relative_frobenius,20,20,0,0.0,0.42424389279431063,0.4127860205851973,0.06702017279977256,0.349109708950017,0.5964831371352775,0.35204794959064223,0.3695286830232442,0.4538096678376196,0.5132854339537227
u0=0.0,all,0.0,separable_W_times_R,memory_function_l1,20,20,0,0.0,0.650640270864755,0.6381263174098848,0.09156156757394572,0.5265397932324479,0.8651787671173917,0.5451046185994081,0.5779700763036857,0.6974572177104069,0.7872601309428413
u0=0.0,all,0.0,separable_W_times_R,impulse_cosine_similarity,20,20,-1,,0.913938433956815,0.9165117880646239,0.022149090648518197,0.8559264357611929,0.9420804173969384,0.88294077307903,0.8991973217694704,0.9328079813359285,0.9388316000465009
u0=0.0,all,0.0,separable_W_times_R,step_cosine_similarity,20,20,-1,,0.9933454005779735,0.9945249243174357,0.003470644253050863,0.9862438292084539,0.9980322655791974,0.9885158711372303,0.9903886582932069,0.9957920180921881,0.9973099062122291
u0=0.0,all,0.0,tangent_recurrence,joint_pass_all4,20,20,20,1.0,,,,,,,,,
u0=0.0,all,0.0,separable_W_times_R,joint_pass_all4,20,20,0,0.0,,,,,,,,,
u0=0.0,all,0.0,n/a,locally_stable_over_valid,20,20,20,1.0,,,,,,,,,
u0=0.0,all,0.0,n/a,locally_stable_over_total,20,20,20,1.0,,,,,,,,,
u0=0.5,all,0.5,tangent_recurrence,impulse_relative_frobenius,20,20,20,1.0,2.4935799103183636e-05,2.4484791091109735e-05,3.99663768388436e-06,1.8278545757877164e-05,3.377903740494107e-05,2.1538296348541622e-05,2.261533817136539e-05,2.7242689068027407e-05,2.9048635175411935e-05
u0=0.5,all,0.5,tangent_recurrence,step_relative_frobenius,20,20,20,1.0,5.828886534995951e-05,5.315093021246766e-05,1.6780779413201425e-05,3.7759035177224315e-05,9.863012782275773e-05,4.134734511208017e-05,4.79788106432297e-05,7.199720854205562e-05,7.969145251959984e-05
u0=0.5,all,0.5,tangent_recurrence,frequency_relative_frobenius,20,20,20,1.0,2.4935799103183517e-05,2.4484791091108614e-05,3.99663768388442e-06,1.8278545757876825e-05,3.377903740494017e-05,2.1538296348546495e-05,2.2615338171365015e-05,2.7242689068025595e-05,2.9048635175412555e-05
u0=0.5,all,0.5,tangent_recurrence,memory_function_l1,20,20,20,1.0,1.0277546242615495e-05,8.570412527280554e-06,5.513097311449447e-06,2.8236343230779466e-06,2.2506435529399008e-05,5.0447270466380905e-06,6.101123683360644e-06,1.4908834147876643e-05,1.8184005848264968e-05
u0=0.5,all,0.5,tangent_recurrence,impulse_cosine_similarity,20,20,-1,,0.9999999997007961,0.9999999997200805,1.042843761048835e-10,0.9999999994577621,0.9999999998620046,0.9999999996059772,0.9999999996356954,0.9999999997709741,0.9999999997944857
u0=0.5,all,0.5,tangent_recurrence,step_cosine_similarity,20,20,-1,,0.9999999991201618,0.9999999992104402,4.1702858478731445e-10,0.9999999979407909,0.9999999995665646,0.9999999987980598,0.99999999894298,0.9999999994486084,0.9999999994700443
u0=0.5,all,0.5,separable_W_times_R,impulse_relative_frobenius,20,20,0,0.0,0.3969798253927963,0.3939641199710506,0.04064206433947604,0.3408831202862328,0.4847780574171333,0.3471849303610207,0.36123777206478214,0.4366311690020519,0.44355679363118083
