seed,r,u0,epsilon,fixed_point_converged,fixed_iterations,fixed_final_difference,companion_spectral_radius,companion_stable,companion_dimension,n_unstable_modes,dominant_abs_1,dominant_abs_2,dominant_abs_3,companion_max_real_part,max_A_eigenvalue_abs,valid,exception,K,past_mass,git_commit,config_sha256,protocol_sha256
8,0.7,-0.5,0.0001,True,648,9.701953267230501e-14,0.980811905873294,True,4080,0,0.980811905873294,0.9550876804604094,0.9481679760390544,0.980811905873294,0.9615957414937407,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
8,0.9,-0.5,0.0001,True,648,9.701953267230501e-14,0.9866869347319638,True,4080,0,0.9866869347319638,0.969071681097197,0.9643691686542403,0.9866869347319638,0.9615957414937407,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
8,0.7,0.0,0.0001,True,565,9.70771389096861e-14,0.9792751848104244,True,4080,0,0.9792751848104244,0.9611558020792637,0.9584811674876392,0.9792751848104244,0.9584805492930393,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
8,0.9,0.0,0.0001,True,565,9.70771389096861e-14,0.9856277372872881,True,4080,0,0.9856277372872881,0.973206643205177,0.9713827118783072,0.9856277372872881,0.9584805492930393,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
8,0.7,0.5,0.0001,True,571,9.896550959857289e-14,0.9781825739372523,True,4080,0,0.9781825739372523,0.9704218428163811,0.9503166574531781,0.9781825739372523,0.9562619392005516,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
8,0.9,0.5,0.0001,True,571,9.896550959857289e-14,0.9848752324697856,True,4080,0,0.9848752324697856,0.9795437080496274,0.965828025373059,0.9848752324697856,0.9562619392005516,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
9,0.7,-0.5,0.0001,True,719,9.862767290888114e-14,0.9828229171049545,True,4080,0,0.9828229171049545,0.9301993912231057,0.9112496263073324,0.9828229171049545,0.9656632768471863,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
9,0.9,-0.5,0.0001,True,719,9.862767290888114e-14,0.9880745212501598,True,4080,0,0.9880745212501598,0.9522081890212142,0.939429980189998,0.9880745212501598,0.9656632768471863,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
9,0.7,0.0,0.0001,True,538,9.628438803875238e-14,0.9796622941800257,True,4080,0,0.9796622941800257,0.9298192783223056,0.9220111940728546,0.9796622941800257,0.9592658573934749,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
9,0.9,0.0,0.0001,True,538,9.628438803875238e-14,0.9858944642634375,True,4080,0,0.9858944642634375,0.9519515374535978,0.9466833199852068,0.9858944642634375,0.9592658573934749,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
9,0.7,0.5,0.0001,True,418,9.49923632580975e-14,0.969988118953665,True,4080,0,0.969988118953665,0.9399792381520824,0.9284049806358265,0.969988118953665,0.9395225884474308,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
9,0.9,0.5,0.0001,True,418,9.49923632580975e-14,0.9792464151350397,True,4080,0,0.9792464151350397,0.958819315353995,0.9509967740591778,0.9792464151350397,0.9395225884474308,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
10,0.7,-0.5,0.0001,True,1156,9.893481605994621e-14,0.989982496900625,True,4080,0,0.989982496900625,0.9761967179105495,0.9184263891269688,0.989982496900625,0.9800621039159532,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
10,0.9,-0.5,0.0001,True,1156,9.893481605994621e-14,0.9930287414960612,True,4080,0,0.9930287414960612,0.9835087557222366,0.9442664953787397,0.9930287414960612,0.9800621039159532,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
10,0.7,0.0,0.0001,True,1008,9.848157916727032e-14,0.9878127389734144,True,4080,0,0.9878127389734144,0.9741916363980945,0.9010500891935695,0.9878127389734144,0.9757118567290007,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
10,0.9,0.0,0.0001,True,1008,9.848157916727032e-14,0.9915249435809925,True,4080,0,0.9915249435809925,0.982130621987938,0.9325565118091075,0.9915249435809925,0.9757118567290007,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
10,0.7,0.5,0.0001,True,1014,9.820523023895114e-14,0.9878187235112625,True,4080,0,0.9878187235112625,0.9691751405488287,0.8924122182098961,0.9878187235112625,0.9757238713016283,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
10,0.9,0.5,0.0001,True,1014,9.820523023895114e-14,0.9915290883913888,True,4080,0,0.9915290883913888,0.9786893485318866,0.9267304232367931,0.9915290883913888,0.9757238713016283,True,,15,0.3,cfb8e08f769bfe5cc2961e3a93421a8490cc9796,e78b988afa66247e10d48da3e4fa69361eca6daca1a4d41d487e79c2a8ab763d,a383649cbc6ebc418d984f6026f983148fb75321f8e9c112b87a20ea3c1d1418
